NDC,Proprietary Name,Non-Proprietary Name,Dosage Form,Route Name,Company Name,Product Type
50090-3871,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4610,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-4611,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-5198,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-5200,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-5201,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-5204,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50383-079,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Akorn,Human Prescription Drug
50383-337,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Akorn,Human Prescription Drug
50383-338,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Akorn,Human Prescription Drug
50383-339,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Akorn,Human Prescription Drug
50383-340,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Akorn,Human Prescription Drug
53002-3410,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,"Rpk Pharmaceuticals, Inc.",Human Prescription Drug
55154-7553,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Cardinal Health,Human Prescription Drug
58118-0485,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Clinical Solutions Wholesale, Llc",Human Prescription Drug
58118-4484,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Clinical Solutions Wholesale, Llc",Human Prescription Drug
60687-604,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,American Health Packaging,Human Prescription Drug
60687-615,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,American Health Packaging,Human Prescription Drug
60760-466,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,St. Mary's Medical Park Pharmacy,Human Prescription Drug
61919-053,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Direct Rx,Human Prescription Drug
61919-053,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Direct_rx,Human Prescription Drug
63187-106,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-291,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Proficient Rx Lp,Human Prescription Drug
63187-815,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63304-561,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Sun Pharmaceutical Industries, Inc.",Human Prescription Drug
63304-562,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Sun Pharmaceutical Industries, Inc.",Human Prescription Drug
63629-1185,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-1190,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-1494,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-3031,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
63629-7668,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
64850-641,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Elite Laboratories, Inc.",Human Prescription Drug
64850-642,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Elite Laboratories, Inc.",Human Prescription Drug
64850-643,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Elite Laboratories, Inc.",Human Prescription Drug
67046-886,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Coupler Enterprises Inc.,Human Prescription Drug
67296-0065,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Redpharm Drug,Human Prescription Drug
67296-1516,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Redpharm Drug, Inc.",Human Prescription Drug
67544-002,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
67544-003,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
68071-2681,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-3061,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals, Inc.",Human Prescription Drug
68071-3100,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals, Inc.",Human Prescription Drug
68071-4430,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-4475,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-4533,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-4668,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-4673,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-4749,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-5010,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68071-5025,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Nucare Pharmaceuticals,inc.",Human Prescription Drug
68788-7801,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Preferred Pharmaceuticals Inc.,Human Prescription Drug
68788-7802,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Preferred Pharmaceuticals Inc.,Human Prescription Drug
68788-7835,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Preferred Pharmaceuticals Inc.,Human Prescription Drug
68788-7859,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Preferred Pharmaceuticals Inc.,Human Prescription Drug
68788-9229,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Preferred Pharmaceuticals, Inc.",Human Prescription Drug
68788-9300,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Preferred Pharmaceuticals, Inc.",Human Prescription Drug
70518-0212,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Remedyrepack Inc.,Human Prescription Drug
70518-2628,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Remedyrepack Inc.,Human Prescription Drug
70518-2764,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Remedyrepack Inc.,Human Prescription Drug
70518-2989,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Remedyrepack Inc.,Human Prescription Drug
70518-3051,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Remedyrepack Inc.,Human Prescription Drug
70934-799,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Denton Pharma, Inc. Dba Northwind Pharmaceuticals",Human Prescription Drug
71205-001,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
71335-0256,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71335-0336,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71335-0701,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71335-1522,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71335-1818,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71335-1846,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
71610-111,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
71930-054,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Eywa Pharma Inc,Human Prescription Drug
71930-055,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Eywa Pharma Inc,Human Prescription Drug
71930-056,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Eywa Pharma Inc,Human Prescription Drug
42195-840,"Acetaminophen, Caffeine, Dihydrocodeine Bitartrate","Acetaminophen, Caffeine, Dihydrocodeine Bitartrate",Capsule,Oral,"Xspire Pharma, Llc",Human Prescription Drug
63459-502,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
63459-504,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
63459-506,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
63459-508,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
63459-512,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
63459-516,Actiq,Fentanyl Citrate,Lozenge,Oral; Transmucosal,"Cephalon, Inc.",Human Prescription Drug
17478-841,Alfentanil,Alfentanil Hydrochloride,Injection,Intravenous,Akorn,Human Prescription Drug
17478-067,Alfentanil Hydrochloride,Alfentanil Hydrochloride,Injection,Intravenous,Akorn,Human Prescription Drug
0113-2224,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,L. Perrigo Company,Human Otc Drug
0363-1010,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,Walgreen Company,Human Otc Drug
0363-2022,Anti Diarrheal,Loperamide Hcl,Solution,Oral,Walgreen Company,Human Otc Drug
0904-7725,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Major Pharmaceuticals,Human Otc Drug
30142-514,Anti Diarrheal,Loperamide Hcl,Solution,Oral,Kroger Company,Human Otc Drug
30142-998,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Kroger Company,Human Otc Drug
37012-224,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,"Shopko Stores Operating Co., Llc",Human Otc Drug
37808-449,Anti Diarrheal,Loperamide Hcl,Solution,Oral,H E B,Human Otc Drug
37808-552,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,H E B,Human Otc Drug
41250-224,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Meijer Distribution Inc,Human Otc Drug
49035-375,Anti Diarrheal,Loperamide Hcl,Tablet,Oral,Wal-mart Stores Inc,Human Otc Drug
50844-753,Anti Diarrheal,Loperamide Hcl,Tablet,Oral,"L.n.k. International, Inc.",Human Otc Drug
55301-375,Anti Diarrheal,Loperamide Hcl,Tablet,Oral,Army And Air Force Exchange Service,Human Otc Drug
56062-224,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Publix Super Markets Inc,Human Otc Drug
59779-700,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Cvs Pharmacy,Human Otc Drug
59779-960,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,Cvs Pharmacy,Human Otc Drug
63868-559,Anti Diarrheal,Loperamide Hcl,Tablet,Oral,Chain Drug Marketing Association Inc,Human Otc Drug
67091-405,Anti Diarrheal,Loperamide Hcl,Capsule,Oral,Winco Foods,Human Otc Drug
68788-8951,Anti Diarrheal,Loperamide Hydrochloride,"Tablet, Film Coated",Oral,Preferred Pharmaceuticals Inc.,Human Otc Drug
71713-501,Anti Diarrheal,Loperamide Hcl,"Tablet, Film Coated",Oral,Thirty Madison Inc,Human Otc Drug
0363-1830,Anti Diarrheal And Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Walgreen Company,Human Otc Drug
69842-644,Anti Diarrheal And Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Cvs Pharmacy,Human Otc Drug
11822-1003,Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Rite Aid Corporation,Human Otc Drug
30142-581,Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Kroger Company,Human Otc Drug
37808-714,Anti Diarrheal Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,H E B,Human Otc Drug
41250-375,Anti Diarrheal Plus Anti Gas,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Meijer Distribution Inc,Human Otc Drug
0363-0375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Walgreen Company,Human Otc Drug
0363-1176,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Walgreens,Human Otc Drug
11673-177,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Target Corporation,Human Otc Drug
11822-0375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Rite Aid Corporation,Human Otc Drug
11822-7834,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Rite Aid Corporation,Human Otc Drug
21130-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"Better Living Brands, Llc",Human Otc Drug
30142-159,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Kroger Company,Human Otc Drug
30142-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,The Kroger Co.,Human Otc Drug
30142-775,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Kroger Company,Human Otc Drug
33992-0375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"Greenbrier International, Inc.",Human Otc Drug
33992-0820,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Assured / Dollar Tree (greenbrier International, Inc.)",Human Otc Drug
36800-208,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Top Care (topco Associates Llc),Human Otc Drug
37808-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,H E B,Human Otc Drug
37808-988,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Heb,Human Otc Drug
41163-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Supervalu Inc.,Human Otc Drug
41250-210,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Meijer Distribution Inc,Human Otc Drug
41250-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Meijer, Inc.",Human Otc Drug
41520-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Care One (american Sales Company),Human Otc Drug
46122-581,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Amerisource Bergen,Human Otc Drug
49035-483,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Wal-mart Stores, Inc.",Human Otc Drug
50804-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Good Sense (geiss, Destin & Dunn, Inc.)",Human Otc Drug
50844-259,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"L.n.k. International, Inc.",Human Otc Drug
50844-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"L.n.k. International, Inc.",Human Otc Drug
53117-248,Anti-diarrheal,Loperamide Hcl,"Tablet, Coated",Oral,First Aid Direct,Human Otc Drug
53943-176,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Discount Drug Mart, Inc.",Human Otc Drug
53943-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Discount Drug Mart,Human Otc Drug
55319-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Family Dollar Services Inc,Human Otc Drug
55910-176,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Dolgencorp, Llc",Human Otc Drug
55910-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Dolgencorp, Inc. (dollar General & Rexall)",Human Otc Drug
57896-381,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Geri-care Pharmaceutical Corp,Human Otc Drug
59779-520,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Cvs Pharmacy,Human Otc Drug
62011-0390,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Strategic Sourcing Services Llc,Human Otc Drug
63868-748,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Quality Choice (chain Drug Marketing Association),Human Otc Drug
63868-876,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Chain Drug Marketing Association Inc.,Human Otc Drug
63941-375,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Valu Merchandisers Company,Human Otc Drug
64092-105,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"Great Lakes Wholesale, Marketing, & Sales, Inc.",Human Otc Drug
67091-335,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,"Winco Foods, Llc",Human Otc Drug
68016-058,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Premier Value Alliance Llc,Human Otc Drug
68016-301,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Chain Drug Consortium,Human Otc Drug
68788-7369,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Preferred Pharmaceuticals Inc.,Human Otc Drug
68998-248,Anti-diarrheal,Marc Glassman,Capsule,Oral,"Marc Glassman, Inc.",Human Otc Drug
69168-248,Anti-diarrheal,Loperamide Hcl,"Tablet, Coated",Oral,Allegiant Health,Human Otc Drug
69452-176,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Bionpharma Inc.,Human Otc Drug
69452-266,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Bionpharma Inc.,Human Otc Drug
69842-061,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Cvs Pharmacy, Inc.",Human Otc Drug
70000-0230,Anti-diarrheal,Loperamide Hcl,"Capsule, Liquid Filled",Oral,Cardinal Health (leader) 70000,Human Otc Drug
70000-0461,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Cardinal Health,Human Otc Drug
70677-0060,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Strategic Sourcing Services, Llc",Human Otc Drug
80136-063,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Northeast Pharma,Human Otc Drug
80136-381,Anti-diarrheal,Loperamide Hcl,Tablet,Oral,Northeast Pharma,Human Otc Drug
80136-851,Anti-diarrheal,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,Northeast Pharma,Human Otc Drug
49035-520,Anti-diarrheal Loperamide HCl,Loperamide Hydrochloride,"Capsule, Liquid Filled",Oral,"Equate (wal-mart Stores, Inc.)",Human Otc Drug
66424-735,"Anti-diarrheal Loperamide Hcl, 2 Mg Caplets",Loperamide Hcl,Tablet,Oral,"Sda Laboratories, Inc.",Human Otc Drug
66715-5529,"Anti-diarrheal, Circle K",Loperamide Hcl Tablet,Tablet,Oral,"Lil' Drug Store Products, Inc.",Human Otc Drug
56062-511,Antidiarrheal Multi Symptom Relief,"Loperamide Hydrochloride, Simethicone",Tablet,Oral,Publix Super Markets Inc,Human Otc Drug
0498-1071,Antidiarrheal Relief,Loperamide Hcl,Tablet,Oral,"Honeywell Safety Products Usa, Inc",Human Otc Drug
51991-074,Ascomp With Codeine,"Butalbital, Aspirin, Caffeine, And Codeine Phosphate",Capsule,Oral,"Breckenridge Pharmaceutical, Inc.",Human Prescription Drug
79739-6094,Ascomp With Codeine,"Butalbital, Aspirin, Cafeine, And Codeine Phosphate",Capsule,Oral,"Lgm Pharma Solutions, Llc",Human Prescription Drug
0113-7224,Basic Care Loperamide Hydrochloride,Loperamide Hcl,"Tablet, Film Coated",Oral,L. Perrigo Company,Human Otc Drug
72288-224,Basic Care Loperamide Hydrochloride,Loperamide Hcl,"Tablet, Film Coated",Oral,Amazon.com Services Llc,Human Otc Drug
